CÓDIGO RENIPRESS,lat,lon
00007155,-14.02993002,-73.46598701
00024059,-13.779937,-73.459413
00004164,-13.76804916,-73.49949846
00002559,-13.54328,-72.69765
00007441,-14.2165251,-73.30806672
00011218,-14.28997643,-73.25644101
00036790,-13.97797,-73.063881
00002573,-14.00303667,-73.09271667
00002572,-13.97484333,-73.06456833
00008826,-14.51851833,-73.276835
00002688,-14.75441167,-73.558885
00002581,-13.94942667,-73.22620333
00007129,-14.25594,-73.33854333
00002587,-14.11089667,-73.16751667
00006650,-14.00445833,-73.30008333
00031092,-13.9862555,-72.3757303
00002615,-13.96020362,-72.39724403
00018007,-13.86231886,-72.39867327
00002620,-14.29356487,-72.27774034
00007356,-14.12494811,-72.16577699
00034224,-13.51762615,-73.71577061
00011221,-13.517255,-73.71463833
00032068,-13.53277841,-73.67537792
00012534,-13.52106003,-73.68961718
00012232,-13.52966729,-73.67336666
00004142,-13.61209216,-73.73931366
00007159,-13.40777,-73.67615667
00004209,-13.53177957,-73.57328817
00002598,-14.06339573,-72.67017886
00007426,-14.00055901,-72.57586306
00013211,-13.95775453,-72.49424367
00002600,-14.22370242,-72.5933153
00007349,-14.00186057,-72.56937391
00002606,-14.16616272,-72.62468913
00007436,-14.11818012,-72.65920569
00002607,-14.14058982,-72.65859489
00002608,-14.22823414,-72.62214589
00002610,-14.24902548,-72.67983126
00036545,-16.3993849,-71.5345119
00036496,-16.398829,-71.5368979
00036964,-16.40754774,-71.54334023
00031854,-16.4030788,-71.5461234
00027926,-16.3970084,-71.5318469
00031647,-16.4013846,-71.5235931
00030005,-16.4020705,-71.5289882
00030539,-16.39722732,-71.53205907
00028291,-16.4090474,-71.537451
00028698,-16.3994948,-71.5332279
00026485,-16.4061786,-71.5476298
00026089,-16.4090474,-71.537451
00020276,-12.0724036,-77.0362388
00012860,-16.40312655,-71.54575511
00001302,-16.3666543,-71.5249147
00001304,-16.37633305,-71.52628302
00037007,-16.38521077,-71.54772934
00031240,-16.3905744,-71.5495301
00025968,-16.39201935,-71.54901262
00009506,-16.38797881,-71.54663832
00036109,-16.35350081,-71.56513028
00033823,-16.40185932,-71.56930958
00024763,-16.3814477,-71.5557385
